seccion_nombre,Votos en Generales,LLAxVotoGen,JxCxVoto,Votos en Ballotage,LLAxVotoBall,%LLA Gen,%JXC Gen,%LLA Ball,Análisis
Comuna 13,164311,27643,87321,163049,102794,16.82358454,53.14373353,63.04485155,-10.58592255
Comuna 14,152605,25920,80939,151032,95260,16.9850267,53.03823597,63.07272631,-10.8544905
Comuna 12,152072,27422,64831,150110,82141,18.03224788,42.63177968,54.72053827,-10.96116115
Comuna 11,135206,25858,54758,134513,73591,19.12489091,40.49968197,54.70921026,-8.714151037
Comuna 04,134521,29077,39963,134160,64516,21.61521249,29.70762929,48.08884914,-6.552723059
Comuna 07,133889,28137,48420,131317,68841,21.01516928,36.16428534,52.42352475,-10.07876484
Comuna 15,124840,21184,45464,124923,59669,16.96892022,36.4178148,47.76462301,-10.471432
Comuna 06,124701,20043,54873,124243,66137,16.07284625,44.00365675,53.23197283,-11.71845801
Comuna 01,121250,25657,45975,120288,66712,21.16041237,37.91752577,55.46022878,-6.868438687
Comuna 05,117662,20595,43259,116018,56460,17.50352705,36.76548078,48.66486235,-11.57954083
Comuna 10,114417,23062,41986,114847,60358,20.15609569,36.69559593,52.55513858,-7.210060263
Comuna 09,114065,25544,37413,114192,59128,22.39424889,32.79971946,51.77945916,-6.081928936
Comuna 03,112465,23562,39075,111477,57270,20.95051794,34.74414262,51.37382599,-8.568418028
Comuna 08,109192,27845,26068,109802,52558,25.50095245,23.87354385,47.86615909,-2.513308478
Comuna 02,100235,17875,57022,99847,68722,17.83309223,56.88831247,68.82730578,-8.244655994
