eleccion_tipo,seccion_nombre,circuito_nombre,mesa_id,mesa_electores,agrupacion_nombre,votos_tipo,votos_cantidad,Barrio
SEGUNDA VUELTA,Comuna 01,1,1,345,UNION POR LA PATRIA,POSITIVO,135,San Telmo
SEGUNDA VUELTA,Comuna 01,1,1,345,LA LIBERTAD AVANZA,POSITIVO,95,San Telmo
SEGUNDA VUELTA,Comuna 01,1,1,345,undefined,EN BLANCO,3,San Telmo
SEGUNDA VUELTA,Comuna 01,1,1,345,undefined,NULO,3,San Telmo
SEGUNDA VUELTA,Comuna 01,1,1,345,undefined,IMPUGNADO,0,San Telmo
SEGUNDA VUELTA,Comuna 01,1,1,345,undefined,RECURRIDO,0,San Telmo
SEGUNDA VUELTA,Comuna 01,1,2,339,UNION POR LA PATRIA,POSITIVO,112,San Telmo
SEGUNDA VUELTA,Comuna 01,1,2,339,LA LIBERTAD AVANZA,POSITIVO,108,San Telmo
SEGUNDA VUELTA,Comuna 01,1,2,339,undefined,EN BLANCO,3,San Telmo
SEGUNDA VUELTA,Comuna 01,1,2,339,undefined,NULO,9,San Telmo
SEGUNDA VUELTA,Comuna 01,1,2,339,undefined,IMPUGNADO,0,San Telmo
SEGUNDA VUELTA,Comuna 01,1,2,339,undefined,RECURRIDO,0,San Telmo
SEGUNDA VUELTA,Comuna 01,1,3,342,UNION POR LA PATRIA,POSITIVO,114,San Telmo
SEGUNDA VUELTA,Comuna 01,1,3,342,LA LIBERTAD AVANZA,POSITIVO,103,San Telmo
SEGUNDA VUELTA,Comuna 01,1,3,342,undefined,EN BLANCO,5,San Telmo
SEGUNDA VUELTA,Comuna 01,1,3,342,undefined,NULO,4,San Telmo
SEGUNDA VUELTA,Comuna 01,1,3,342,undefined,IMPUGNADO,0,San Telmo
SEGUNDA VUELTA,Comuna 01,1,3,342,undefined,RECURRIDO,0,San Telmo
SEGUNDA VUELTA,Comuna 01,1,4,345,UNION POR LA PATRIA,POSITIVO,135,San Telmo
SEGUNDA VUELTA,Comuna 01,1,4,345,LA LIBERTAD AVANZA,POSITIVO,104,San Telmo
SEGUNDA VUELTA,Comuna 01,1,4,345,undefined,EN BLANCO,10,San Telmo
SEGUNDA VUELTA,Comuna 01,1,4,345,undefined,NULO,2,San Telmo
SEGUNDA VUELTA,Comuna 01,1,4,345,undefined,IMPUGNADO,0,San Telmo
SEGUNDA VUELTA,Comuna 01,1,4,345,undefined,RECURRIDO,0,San Telmo
SEGUNDA VUELTA,Comuna 01,1,5,351,UNION POR LA PATRIA,POSITIVO,130,San Telmo
SEGUNDA VUELTA,Comuna 01,1,5,351,LA LIBERTAD AVANZA,POSITIVO,122,San Telmo
SEGUNDA VUELTA,Comuna 01,1,5,351,undefined,EN BLANCO,4,San Telmo
SEGUNDA VUELTA,Comuna 01,1,5,351,undefined,NULO,5,San Telmo
SEGUNDA VUELTA,Comuna 01,1,5,351,undefined,IMPUGNADO,0,San Telmo
SEGUNDA VUELTA,Comuna 01,1,5,351,undefined,RECURRIDO,0,San Telmo
SEGUNDA VUELTA,Comuna 01,1,6,343,UNION POR LA PATRIA,POSITIVO,154,San Telmo
SEGUNDA VUELTA,Comuna 01,1,6,343,LA LIBERTAD AVANZA,POSITIVO,91,San Telmo
SEGUNDA VUELTA,Comuna 01,1,6,343,undefined,EN BLANCO,3,San Telmo
SEGUNDA VUELTA,Comuna 01,1,6,343,undefined,NULO,3,San Telmo
SEGUNDA VUELTA,Comuna 01,1,6,343,undefined,IMPUGNADO,0,San Telmo
SEGUNDA VUELTA,Comuna 01,1,6,343,undefined,RECURRIDO,0,San Telmo
SEGUNDA VUELTA,Comuna 01,1,7,342,UNION POR LA PATRIA,POSITIVO,133,San Telmo
SEGUNDA VUELTA,Comuna 01,1,7,342,LA LIBERTAD AVANZA,POSITIVO,102,San Telmo
SEGUNDA VUELTA,Comuna 01,1,7,342,undefined,EN BLANCO,6,San Telmo
SEGUNDA VUELTA,Comuna 01,1,7,342,undefined,NULO,4,San Telmo
SEGUNDA VUELTA,Comuna 01,1,7,342,undefined,IMPUGNADO,0,San Telmo
SEGUNDA VUELTA,Comuna 01,1,7,342,undefined,RECURRIDO,0,San Telmo
SEGUNDA VUELTA,Comuna 01,1,8,339,UNION POR LA PATRIA,POSITIVO,133,San Telmo
SEGUNDA VUELTA,Comuna 01,1,8,339,LA LIBERTAD AVANZA,POSITIVO,115,San Telmo
SEGUNDA VUELTA,Comuna 01,1,8,339,undefined,EN BLANCO,5,San Telmo
SEGUNDA VUELTA,Comuna 01,1,8,339,undefined,NULO,5,San Telmo
SEGUNDA VUELTA,Comuna 01,1,8,339,undefined,IMPUGNADO,0,San Telmo
SEGUNDA VUELTA,Comuna 01,1,8,339,undefined,RECURRIDO,0,San Telmo
SEGUNDA VUELTA,Comuna 01,1,9,345,UNION POR LA PATRIA,POSITIVO,138,San Telmo
SEGUNDA VUELTA,Comuna 01,1,9,345,LA LIBERTAD AVANZA,POSITIVO,111,San Telmo
SEGUNDA VUELTA,Comuna 01,1,9,345,undefined,EN BLANCO,1,San Telmo
SEGUNDA VUELTA,Comuna 01,1,9,345,undefined,NULO,3,San Telmo
SEGUNDA VUELTA,Comuna 01,1,9,345,undefined,IMPUGNADO,0,San Telmo
SEGUNDA VUELTA,Comuna 01,1,9,345,undefined,RECURRIDO,0,San Telmo
SEGUNDA VUELTA,Comuna 01,1,10,344,UNION POR LA PATRIA,POSITIVO,114,San Telmo
SEGUNDA VUELTA,Comuna 01,1,10,344,LA LIBERTAD AVANZA,POSITIVO,104,San Telmo
SEGUNDA VUELTA,Comuna 01,1,10,344,undefined,EN BLANCO,6,San Telmo
SEGUNDA VUELTA,Comuna 01,1,10,344,undefined,NULO,8,San Telmo
SEGUNDA VUELTA,Comuna 01,1,10,344,undefined,IMPUGNADO,0,San Telmo
SEGUNDA VUELTA,Comuna 01,1,10,344,undefined,RECURRIDO,0,San Telmo
SEGUNDA VUELTA,Comuna 01,1,11,347,UNION POR LA PATRIA,POSITIVO,120,San Telmo
SEGUNDA VUELTA,Comuna 01,1,11,347,LA LIBERTAD AVANZA,POSITIVO,120,San Telmo
SEGUNDA VUELTA,Comuna 01,1,11,347,undefined,EN BLANCO,4,San Telmo
SEGUNDA VUELTA,Comuna 01,1,11,347,undefined,NULO,2,San Telmo
SEGUNDA VUELTA,Comuna 01,1,11,347,undefined,IMPUGNADO,0,San Telmo
SEGUNDA VUELTA,Comuna 01,1,11,347,undefined,RECURRIDO,0,San Telmo
SEGUNDA VUELTA,Comuna 01,1,12,343,UNION POR LA PATRIA,POSITIVO,122,San Telmo
SEGUNDA VUELTA,Comuna 01,1,12,343,LA LIBERTAD AVANZA,POSITIVO,118,San Telmo
SEGUNDA VUELTA,Comuna 01,1,12,343,undefined,EN BLANCO,6,San Telmo
SEGUNDA VUELTA,Comuna 01,1,12,343,undefined,NULO,9,San Telmo
SEGUNDA VUELTA,Comuna 01,1,12,343,undefined,IMPUGNADO,0,San Telmo
SEGUNDA VUELTA,Comuna 01,1,12,343,undefined,RECURRIDO,0,San Telmo
SEGUNDA VUELTA,Comuna 01,1,13,344,LA LIBERTAD AVANZA,POSITIVO,118,San Telmo
SEGUNDA VUELTA,Comuna 01,1,13,344,UNION POR LA PATRIA,POSITIVO,113,San Telmo
SEGUNDA VUELTA,Comuna 01,1,13,344,undefined,EN BLANCO,2,San Telmo
SEGUNDA VUELTA,Comuna 01,1,13,344,undefined,NULO,11,San Telmo
SEGUNDA VUELTA,Comuna 01,1,13,344,undefined,IMPUGNADO,0,San Telmo
SEGUNDA VUELTA,Comuna 01,1,13,344,undefined,RECURRIDO,0,San Telmo
SEGUNDA VUELTA,Comuna 01,1,14,343,UNION POR LA PATRIA,POSITIVO,127,San Telmo
